title,abstract,bodytext
"Full Title: Comparisons of a Novel Air Sampling Filter Material, Wash Buffers and 2 Extraction Methods in the Detection and Quantification of Influenza Virus 3 Short title: Comparisons of Air Sampling Filter Materials for the Detection Quantification 4 of Influenza Virus CPUB-Occup & Environ Hea","300 words) 33 Quantification of aerosolized influenza virus is used for determining inhalation exposure. Several 34 bioaerosol samplers and analytical methods have been used; however, the detection and 35 quantification of influenza virus among aerosol samples remains challenging. Therefore, 36 improved viral aerosol measurement methods are needed. This study evaluated influenza virus 37 recovery among three filter types polytetrafluoroethylene, polyvinylchloride and polystyrene. 38 Polytetrafluoroethylene, polyvinylchloride are fabricated filter materials and commonly used in 39 the scientific literature to sample for viral aerosols. A novel, electrospun polystyrene filter 40 material may improve viral aerosol recovery during filter-based air sampling. The filter materials 41 were compared across the following conditions: treated with or without air, filter wash buffer 42 (HBSS or PBS), and viral RNA extraction method (QIAamp Viral RNA Mini Kit or Trizol). 43 Twenty trials were completed in a chamber and samples were analyzed using RT-qPCR. Viral 44 recovery was significantly different (p-value < .0001) by filter type. Polystyrene filter use 45 resulted in recovery of the most viral RNA. Air sampling did not affect the recovery of viral 46 RNA from the filter materials (p-values > 0.05). Viral RNA concentrations were significantly 47 different across extraction methods for all comparisons (p-values < 0.05). Our results 48 demonstrated that the novel polystyrene filter material resulted in the highest concentration of 49 extracted RNA compared to the commonly used polytetrafluoroethylene and polyvinylchloride, 50 which we speculate may be related to the chemical composition of the filter material (e.g., 51 polystyrene is an aromatic hydrocarbon whereas polytetrafluoroethylene and polyvinylchloride 52 contain more polar, and thus potentially reactive, carbon-halogen bonds). Air sampling did not 53 have an effect on viral RNA recovery. Using Hanks Balanced Salt Solution with QIAamp Viral . CC-BY 4.0 International license is made available under a The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. It . https://doi.org/10.1101/441154 doi: bioRxiv preprint 54 RNA Mini Kit, and Phosphate-buffered saline with the Trizol extraction, resulted in the most 55 viral RNA recovery. 56 57 58","Introduction minimize the effects of sampling stress and maximize recovery. The SKC Biosampler has been 78 found to have greater viral recovery compared to other commonly used filter-based samplers; 79 however, the differences across samplers were not statistically significant. [13] [14] [15] 80 81 Filters are used frequently as a sampling media in personal samplers in the field of exposure 82 assessment. Filter based samplers have also been used in the collection of aerosolized viruses due 83 to their efficiency in collecting sub-micrometer particles 10, 16 , and ability to be used for longer 84 periods in the field compared to impinger based methods. 17,18 Polytetrafluoroethylene (PTFE), 85 polyvinyl chloride (PVC), polycarbonate, and gelatin-containing filters have all been used to 86 collect virus 10,19 , with PTFE and PVC being the most efficient among filter materials tested. 16, 19 87 Nevertheless, the viral recovery from PTFE and PVC filter materials remains inefficient. 10"
No more business as usual: agile and effective responses to emerging pathogen threats require open data and open analytics Authors and contributions,"5,6 , usegalaxy.be 7,8 and hyphy.org 9 development teams","The current state of much of the Wuhan pneumonia virus (COVID-19) research shows a regrettable lack of data sharing and considerable analytical obfuscation. This impedes global research cooperation, which is essential for tackling public health emergencies, and requires unimpeded access to data, analysis tools, and computational infrastructure. Here we show that community efforts in developing open analytical software tools over the past ten years, combined with national investments into scientific computational infrastructure, can overcome these deficiencies and provide an accessible platform for tackling global health emergencies in an open and transparent manner. Specifically, we use all COVID-19 genomic data available in the public domain so far to (1) underscore the importance of access to raw data and to (2) demonstrate that existing community efforts in curation and deployment of biomedical software can reliably support rapid, reproducible research during global health crises. All our analyses are fully documented at https://github.com/galaxyproject/SARS-CoV-2."
TITLE Containing Emerging Epidemics: a Quantitative Comparison of Quarantine and Symptom Monitoring,"Strategies for containing an emerging infectious disease outbreak must be nonpharmaceutical when drugs or vaccines for the pathogen do not yet exist or are unavailable. The success of these non-pharmaceutical strategies will depend not only on the effectiveness of quarantine or other isolation measures but also on the epidemiological characteristics of the infection. However, there is currently no systematic framework to assess the relationship between different containment strategies and the natural history and epidemiological dynamics of the pathogen. Here, we compare the effectiveness of quarantine and symptom monitoring, implemented via contact tracing, in controlling epidemics using an agent-based branching model. We examine the relationship between epidemic containment and the disease dynamics of symptoms and infectiousness for seven case study diseases with diverse natural histories including Ebola, Influenza A, and Severe Acute Respiratory Syndrome (SARS). We show that the comparative effectiveness of symptom monitoring and quarantine depends critically on the natural history of the infectious disease, its inherent transmissibility, and the intervention feasibility in the particular healthcare setting. The benefit of quarantine over symptom monitoring is generally maximized for fast-course diseases, but we show the conditions under which symptom monitoring alone can control certain outbreaks. This quantitative framework can guide policy-makers on how best to use non-pharmaceutical interventions to contain emerging outbreaks and prioritize research during an outbreak of a novel pathogen.","Quarantine and symptom monitoring of contacts with suspected exposure to an infectious disease are key interventions for the control of emerging epidemics; however, there does not yet exist a quantitative framework for comparing the control performance of each."
Title page • Title A combinatorial biomolecular strategy to identify peptides for improved transport across the sputum of cystic fibrosis patients and the underlying epithelia • Author names and affiliations,"Drugs and drug delivery systems have to traverse multiple biological barriers to achieve therapeutic efficacy. In diseases of mucosal-associated tissues such as cystic fibrosis (CF), successful delivery of gene and drug therapies remains a significant challenge due to an abnormally concentrated viscoelastic mucus, which prevents ~99% of all drugs and particles from penetrating the mucus barrier and the underlying epithelia for effective therapy, resulting in decreased survival. We used combinatorial peptide-presenting phage libraries and nextgeneration sequencing to identify hydrophilic, close to net-neutral charged peptides that penetrate the mucus barrier ex vivo in sputum from CF patients with ~600-fold better penetration than a positively charged control. After mucus penetration, nanoparticles conjugated with our selected peptides successfully translocated into lung epithelial cells derived from CF patients and demonstrated up to three-fold improved cell uptake compared to non-modified carboxylated-and gold standard PEGylated-nanoparticles. The selected peptides act as surface chemistries with synergistic functions to significantly improve the ability of drug delivery systems to overcome the human mucosal barriers and provide efficient cellular internalization. Our screening strategy provides a biologically-based discovery assay that directly addresses transport through mucus and cell barriers and has the potential to advance drug and gene delivery to multiple mucosal barriers.","For successful treatment of mucosal-associated diseases, such as cystic fibrosis (CF), HIV, asthma, and chronic obstructive pulmonary disease, it is critical for drug and gene therapies to cross several biological barriers to enter the target cells at therapeutic concentrations. One of the initial and primary barriers is the protective mucus layer lining the epithelia in the eyes, airways, gastrointestinal and cervicovaginal tracts [1] [2] [3] . Mucus is a complex biopolymer composed mainly of water, mucin glycoproteins, lipids, DNA, non-mucin proteins, salts, and cell debris [4] . The mucus layer acts as a transport barrier and can greatly hinder the diffusion of drugs, particles, and other molecules [5] [6] [7] via size filtering, mucociliary clearance, and intermolecular interactions, including electrostatic, hydrophobic, and/or other specific binding interactions [8] . For example in CF, the hyperconcentrated mucus layer traps foreign pathogens, resulting in chronic bacterial infections and concomitantly prevents up to 99% of drugs and particles from penetration needed for successful therapy [9, 10] . As a result, it is a long-standing challenge for drugs to permeate the mucus barrier and reach the underlying epithelia."
"Title: Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study","Lei, MD have contributed equally to this work.","In December 2019, Coronavirus disease 2019 (COVID-19) broke out in Wuhan, China, and quickly spread to other Chinese provinces and 38 countries around the world up to February 26, 2020. Owing to its involvement in multiple areas, WHO declared a Public Health Emergency of International Concern on January 30, 2020. Up to February 26, 2020, there were 78,630 laboratory-confirmed and clinical-confirmed cases in China and over 3,000 cases outside China while about 2/3 of cases in China was located in Wuhan. 1 Zhang et al reported the largest epidemiological investigation of 72314 cases and showed the crude case fatality rate in Hubei province (2.9%) was 7.3 times higher than other provinces (0.4%) in China, 2 which indicated that there are differences in clinical outcome between the patients in Hubei and other provinces. The features and outcomes of patients with COVID- 19 in Wuhan have been described in detail in several studies. Currently, there has been limited studies about patients with COVID-19 in Zhejiang and Beijing, which is far from Hubei. 3, 4 However, the clinical characteristics and progression of disease outside Hubei, especially in areas near Hubei which have a relative higher risk of importing patients than remote areas, were still unknown."
Spatially Explicit Modeling of 2019-nCoV Epidemic Trend Based on Mobile Phone Data in Mainland China,"As of February 11, 2020, all prefecture-level cities in mainland China have reported confirmed cases of 2019 novel coronavirus (2019-nCoV), but the city-level epidemical dynamics is unknown. The aim of this study is to model the current dynamics of 2019-nCoV at city level and predict the trend in the next 30 days under three possible scenarios in mainland China. We developed a spatially explicit epidemic model to consider the unique characteristics of the virus transmission in individual cities. Our model considered that the rate of virus transmission among local residents is different from those with Wuhan travel history due to the self-isolation policy. We introduced a decay rate to quantify the effort of each city to gradually control the disease spreading. We used mobile phone data to obtain the number of individuals in each city who have travel history to Wuhan. This city-level model was","Wuhan, a large city with 14 million residents and a major air and train transportation hub of central China, identified a cluster of unexplained cases of pneumonia on December 29, 2019 1 . Four patients were initially reported and all these initial cases were linked to the Huanan Seafood Wholesale Market 2 . Chinese health authorities and scientists did immediate investigation and isolated a novel coronavirus from these patients by January 7, 2020, which is then named as 2019-nCoV by the World Health Organization 3, 4 . 2019-nCoV can cause acute respiratory diseases that progress to severe pneumonia 5 . The infection fatality risk is around 3% estimated from the data of early outbreak 3, 6 . Information on new cases strongly indicates human-to-human spread 1, 7, 8 . Infection of 2019-nCoV quickly spread to other cities in China and other countries ( Figure 1 ). It becomes an event of global health concern 9 . Up to February 11, 2020, according to the reports published by the Chinese Center for Disease Control and Prevention, all prefecturelevel cities of mainland China have confirmed cases and the total number reaches to 42667, of whom 1016 have died and 4242 recovered; 24 oversea countries have 398 confirmed cases (1 died). Chinese government took great effort to control the spread of disease, including closing the public transportation from and to Wuhan on January 23, extending the Spring Festival holiday, postponing the school-back day, and suspending all domestic and international group tours. Unfortunately, many external factors bring a challenge to control virus spreading. First, it might be already late to stop the migration of infected cases. Evidence suggests that Wuhan is the center of 2019-nCoV outbreak 1, 10 . However, around 5 million Wuhan residents left Wuhan in January 2020 due to the Spring Festival (January 24, 2020). It is very likely that a considerable number of infected cases have moved from Wuhan to other cities before Wuhan government implemented border control on January 23. Second, it is highly possible that infected cases spread the virus to their family members or relatives 7 . A study based on 425 patients at the early stage of outbreak revealed that the time from infection to illness onset is 5.2 days 1 . As a result, presymptomatic cases who have left Wuhan may not be isolated themselves from their family and relatives 11 . Third, due to the sudden outbreak of virus, the preparation and resources for preventing virus transmission are limited. The protective equipment in many hospitals in Wuhan was in short supply so that it is difficult to maintain strict personal hygiene. With the quick increase of infected cases, Wuhan and other cities in Hubei Province have large pressure to isolate and give medical treatment to infected people. All above factors make preventing the spread of 2019-nCoV even more difficult than the severe acute respiratory syndrome (SARS), another coronavirus outbreak in China 17 years ago that caused more than 8000 infections and 800 deaths."
Altered polarization of PAR-2 signaling during airway epithelial remodeling,Background: Protease-activated receptor 2 (PAR-2) is activated by proteases involved in allergy and triggers airway epithelial secretion and inflammation. PAR-2 is normally expressed basolaterally in differentiated nasal ciliated cells.,"Protease-activated receptors (PARs) are G protein-coupled receptors (GPCRs) that can drive inflammation in asthma, chronic rhinosinusitis (CRS), and allergic rhinitis. 1, 2 PARs are activated by proteolytic cleavage of the extracellular N-terminus, exposing an intramolecular tethered ligand. 1, 2 PAR-2 may be activated by mast cell tryptase, 3 neutrophil elastase, 4 Alternaria fungal proteases, 5 and house dust mite proteases 6 and may promote Th2 inflammation in bronchial epithelial cells. 7 We previously found that PAR-2 is expressed on the basolateral membrane of healthy well-polarized differentiated primary sinonasal epithelial ciliated cells, where it elevates intracellular calcium to increase ciliary beating and apical membrane Clsecreation, 8 suggesting PAR-2 promotes epithelial mucociliary clearance in response to protease activity."
Amplicon based MinION sequencing of SARS-CoV-2 and metagenomic characterisation of nasopharyngeal swabs from patients with COVID-19,COVID-19 is a complex disease phenotype where the underlying microbiome could influence morbidity and mortality. Amplicon and metagenomic MinION based sequencing was used to rapidly (within 8 hours) identify SARS-CoV-2 and assess the microbiome in nasopharyngeal swabs obtained from patients with COVID-19 by the ISARIC 4C consortium.,"Mechanisms of life-threatening disease in COVID-19 including factors associated with morbidity and mortality. Middle East respiratory syndrome (MERS) can provide important parallels: one of the risk factors associated with severe disease and/or a fatal outcome is the presence of other infections [1, 2] . Other infections may therefore exacerbate COVID-19. A case study in China identified the presence of other microorganisms in patients with COVID-19 and included specific nucleic acid based detection for six common respiratory virus and the use of culture [3] . No viruses were identified but the study identified Acinetobacter baumannii, Klebsiella pneumoniae, and Aspergillus flavus in a single patient and several cases of fungal infection were diagnosed including Candida albicans and Candida glabrata. The ability to rapidly identify both the primary pathogen and other infections that may be present early in disease may provide opportunities for targeted intervention in patients suspected or confirmed with COVID-19. The advantage of both laboratory [4] and field-based sequencing approaches [5] was illustrated in the West African Ebola virus outbreak in characterising viral infection and also providing an assessment of the contribution of potential co-infections to outcome [6] . Rapid sequencing of SARS-CoV-2 itself provides utility in two main areas. First, specific amplicon-based sequencing of SARS-CoV-2 allows for potential contact tracing, molecular epidemiology and studies of viral evolution. Second, the use of metagenomic approaches like SISPA provides a check on sequence divergence for amplicon-based approaches. This is particularly important for SARS-CoV-2 as the virus could undergo recombination with other human coronaviruses and mutation and this may also affect both vaccine and antiviral efficacy."
"Epidemiological characteristics of 1212 COVID-19 patients in Henan, China. medRxiv","Based on publicly released data for 1212 patients, we investigated the epidemiological characteristics of COVID-19 in Henan of China. The following findings are obtained: 1) COVID-19 patients in Henan show gender (55% vs 45%) and age (81% aged between 21 and 60) preferences, possible causes were explored; 2) Statistical analysis on 483 patients reveals that the estimated average, mode and median incubation periods are 7.4, 4 and 7 days; Incubation periods of 92% patients were no more than 14 days; 3) The epidemic of COVID-19 in Henan has undergone three stages and showed high correlations with the numbers of patients that recently return from Wuhan; 4) Network analysis on the aggregate outbreak phenomena of COVID-19 revealed that 208 cases were clustering infected, and various people's Hospital are the main force in treating patients. The related investigations have potential implications for the prevention and control of COVID-19.","Arising from Wuhan South China seafood market at the end of the year 2019, novel coronavirus pneumonia (Named as COVID-19 by WHO since February 11, 2020) has spread for more than one months, and it has directly resulted to more than 74600 confirmed patients, and 2121 people dead till February 20, 2020 [1] - [19] . Various investigations and reports reveal that the COVID-19 is different from the SARS in the year 2003 from the following aspects [1] [2] [3] [4] [5] [6] : 1) Higher Infection rate; 2) With incubation period; 3) Incubation period is infectious; 4) Low lethality rate; 5) High mortality among the elderly patients that are with underlying diseases. These features result the prevention and control of COVID-19 to be a difficult task."
Title: Novel tetraplex qPCR assays for simultaneous detection and identification of Xylella fastidiosa subspecies in plant tissues,"Xylella fastidiosa is an insect-borne bacterium confined to the xylem vessels of plants. This plant 15 pathogen has a broad host range estimated to 560 plant species. Five subspecies of the pathogen with 16 different but overlapping host ranges have been described, but only three subspecies are widely 17 accepted, namely subspecies fastidiosa, multiplex and pauca. Initially limited to the Americas, Xf has 18 been detected in Europe since 2013. As management of X. fastidiosa outbreaks in Europe depends on 19 the identification of the subspecies, accurate determination of the subspecies in infected plants as early 20 as possible is of major interest. Thus, we developed various tetraplex and triplex qPCR assays for 21","Xylella fastidiosa (Xf) is a worldwide insect-transmitted plant pathogenic bacterium that presents a very 36 large host range. Altogether, 563 plant species grouped into 82 botanical families have been reported 37"
MERS-CoV spillover at the camel-human interface,"Middle East respiratory syndrome coronavirus (MERS-CoV) is a zoonotic virus from camels causing significant mortality and morbidity in humans in the Arabian Peninsula. The epidemiology of the virus remains poorly understood, and while casebased and seroepidemiological studies have been employed extensively throughout the epidemic, viral sequence data have not been utilised to their full potential. Here we use existing MERS-CoV sequence data to explore its phylodynamics in two of its known major hosts, humans and camels. We employ structured coalescent models to show that long-term MERS-CoV evolution occurs exclusively in camels, whereas humans act as a transient, and ultimately terminal host. By analysing the distribution of human outbreak cluster sizes and zoonotic introduction times we show that human outbreaks in the Arabian peninsula are driven by seasonally varying zoonotic transfer of viruses from camels. Without heretofore unseen evolution of host tropism, MERS-CoV is unlikely to become endemic in humans.","Middle East respiratory syndrome coronavirus (MERS-CoV), endemic in camels in the Arabian Peninsula, is the causative agent of zoonotic infections and limited outbreaks in humans. The virus, first discovered in 2012 (Zaki et al., 2012; Boheemen et al., 2012) , has caused more than 2000 infections and over 700 deaths, according to the World Health Organization (WHO) (World Health Organization, 2017) . Its epidemiology remains obscure, largely because infections are observed among the most severely affected individuals, such as older males with comorbidities (Assiri et al., 2013a; The WHO MERS-CoV Research Group, 2013) . While contact with camels is often reported, other patients do not recall contact with any livestock, suggesting an unobserved community contribution to the outbreak (The WHO MERS-CoV Research Group, 2013) . Previous studies on MERS-CoV epidemiology have used serology to identify factors associated with MERS-CoV exposure in potential risk groups (Reusken et al., 2015 (Reusken et al., , 2013 . Such data have shown high seroprevalence in camels (Müller et al., 2014; Corman et al., 2014; Chu et al., 2014; Reusken et al., 2013 Reusken et al., , 2014 and evidence of contact with MERS-CoV in workers with occupational exposure to camels (Reusken et al., 2015; Müller et al., 2015) . Separately, epidemiological modelling approaches have been used to look at incidence reports through time, space and across hosts (Cauchemez et al., 2016) ."
"2019 Novel Coronavirus can be detected in urine, blood, anal swabs and oropharyngeal swabs samples","We tested samples collected from nine patients diagnosed with coronavirus disease 2019 (COVID-19). The virus was found in urine, blood, anal swabs and oropharyngeal swabs. It is the first time for SARS-CoV-2 found in urine, though no urinary irritation was found.","2019 Novel Coronavirus (SARS-CoV-2) infection outbroke and spread to the world from 2019. By January 28, 2020, a total of 4593 global confirmed cases, of which 4537 were from China, had been reported (1) . On January 30, 2020, SARS-CoV-2 infection was declared as a global health emergency by World Health Organization (WHO). The mechanism of SARS-CoV-2 infection and organ invasion are unclear, which directly leads to difficulties and blindness in clinical diagnosis and treatment. We aim to detect SARS-CoV-2 nucleic acid from urine, blood, anal swab and oropharyngeal swab samples. We hope to provide evidences of the multiple organ invasion of the virus and figure out its relation with clinical manifestations."
A simple model to assess Wuhan lock-down effect and region efforts during COVID-19 epidemic in China Mainland,"Since COVID-19 emerged in early December, 2019 in Wuhan and swept across China Mainland, a series of large-scale public health interventions, especially Wuhan lock-down combined with nationwide traffic restrictions and Stay At Home Movement, have been taken by the government to control the epidemic. Based on","December 1, 2019 in Wuhan City, Hubei Province, China (Huang et al, 2020) , the overall confirmed cases in China had reached 78,959 by the end of February 27, 2020, and a total of 2,791 people had died of the disease."
Host shifts result in parallel genetic changes when viruses evolve in closely related species 1 2,"Host shifts, where a pathogen invades and establishes in a new host species, are a major source of 17 emerging infectious diseases. They frequently occur between related host species and often rely on 18 the pathogen evolving adaptations that increase their fitness in the novel host species. To 19 investigate genetic changes in novel hosts, we experimentally evolved replicate lineages of an RNA 20 virus (Drosophila C Virus) in 19 different species of Drosophilidae and deep sequenced the viral 21 genomes. We found a strong pattern of parallel evolution, where viral lineages from the same host 22","Host shifts -where a pathogen jumps into and establishes in a new host species -are a major 32 source of emerging infectious diseases. RNA viruses seem particularly prone to host shift [1] [2] [3] [4] , with 33 HIV, Ebola virus and SARS coronavirus all having been acquired by humans from other host species 34 [5] [6] [7] . Whilst some pathogens may be pre-adapted to a novel host, there are increasing numbers of 35 examples demonstrating that adaptation to the new host occurs following a host shift [8, 9] . These 36 adaptations may allow a pathogen to enter host cells, increase replication rates, avoid or suppress 37 the host immune response, or optimise virulence or transmission [10, 11] . For example, in the 2013-38 2016 Ebola virus epidemic in West Africa, a mutation in the viral glycoprotein gene that arose early 39 in the outbreak and rose to high frequency was found to increase infectivity in human cells and 40 decrease infectivity in bats, which are thought to be the source of Ebola virus [12, 13] . Likewise, a 41 switch of a parvovirus from cats to dogs resulted in mutations in the virus capsid that allowed the 42 virus to bind to cell receptors in dogs, but resulted in the virus losing its ability to infect cats [14, 15] "
"Psychological responses, behavioral changes and public perceptions during the early phase of the COVID-19 outbreak in China: a population based cross-sectional survey","Objective: To investigate psychological and behavioral responses to the threat of SARS-CoV-2 infections and their associations with public perceptions in China Design: Cross sectional population-based telephone survey via random digital dialing between 1 and 10 February, 2020 Setting: Wuhan (the epicentre and quarantined city), and Shanghai (a typical major city with close transportation link with Wuhan) Participants: Random sample of 510 residents in Wuhan and 501 residents in Shanghai aged above 18 Main outcome measures: Anxiety (measured by the 7-item generalized anxiety disorder [GAD-7] scale), recommended and avoidance behaviors (engaged in all six behaviors such as increasing surface cleaning and reducing going out).","In December 2019, coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in Wuhan city, China. 1 As of Feb 16, 2020, a total of 70,548 COVID-19 cases with 1,770 deaths had been reported in mainland China. 2 The outbreak has now spread to twenty-five countries outside of China. 3 On Jan 31, 2020 (Beijing Time), the World Health Organization (WHO) declared the coronavirus outbreak a public health emergency of international concern (PHEIC). Since Jan 23, 2020, the Chinese government has put Wuhan and several nearby cities under quarantine, hoping to stop the disease from spreading to other parts of the country. However, millions of people had left Wuhan before the lockdown because of the approaching Spring Festival holiday."
Using Digital Surveillance Tools for Near Real-Time Mapping of the Risk of International Infectious Disease Spread: Ebola as a Case Study,"In our increasingly interconnected world, it is crucial to understand the risk of an outbreak originating in one country or region and spreading to the rest of the world. Digital disease surveillance tools such as ProMED and HealthMap have the potential to serve as important early warning systems as well as complement the field surveillance during an ongoing outbreak. Here we present a flexible statistical model that uses data produced from digital surveillance tools (ProMED and HealthMap) to forecast short term incidence trends in a spatially explicit manner. The model was applied to data collected by ProMED and HealthMap during the 2013-2016 West African Ebola epidemic. The model was able to predict each instance of international spread 1 to 4 weeks in advance. Our study highlights the potential and limitations of using publicly available digital surveillance data for assessing outbreak dynamics in real-time.","In our increasingly interconnected world, it is crucial to understand the risk of an outbreak originating in one country or region and spreading to the rest of the world. Digital disease surveillance tools such as ProMED and HealthMap have the potential to serve as important early warning systems as well as complement the field surveillance during an ongoing outbreak. Here we present a flexible statistical model that uses data produced from digital surveillance tools (ProMED and HealthMap) to forecast short term incidence trends in a spatially explicit manner. The model was applied to data collected by ProMED and HealthMap during the 2013-2016 West African Ebola epidemic. The model was able to predict each instance of international spread 1 to 4 weeks in advance. Our study highlights the potential and limitations of using publicly available digital surveillance data for assessing outbreak dynamics in real-time."
"Epidemiological and clinical features of COVID-19 patients with and without pneumonia in Beijing, China","Background: SARS-CoV-2-caused coronavirus disease (COVID-19) is posing a large casualty. The features of COVID-19 patients with and without pneumonia, SARS-CoV-2 transmissibility in asymptomatic carriers, and factors predicting disease progression remain unknown. Methods: We collected information on clinical characteristics, exposure history, and laboratory examinations of all laboratory-confirmed COVID-19 patients admitted to PLA General Hospital. Cox regression analysis was applied to identify prognostic factors. The last follow-up was February 18, 2020. Results: We characterized 55 consecutive COVID-19 patients. The mean incubation was 8.42 (95% confidence interval [CI], 6.55-10.29) days. The mean SARS-CoV-2-positive duration from first positive test to conversion was 9.71 (95%CI, 8.21-11.22) days. COVID-19 course was approximately 2 weeks. Asymptomatic carriers might transmit SARS-CoV-2. Compared to patients without pneumonia, those with pneumonia were 15 years older and had a higher rate of hypertension, higher frequencies of having a fever and cough, and higher levels of interleukin-6 (14.61 vs. 8.06pg/mL, P=0.040), B lymphocyte proportion (13.0% vs.10.0%, P=0.024), low account (<190/µL) of CD8 + T cells (33.3% vs. 0, P=0.019). Multivariate Cox regression analysis indicated that circulating interleukin-6 and lactate independently predicted COVID-19 progression, with a hazard ratio (95%CI) of 1.052 (1.000-1.107) and 1.082 (1.013-1.155), respectively. During disease course, T lymphocytes were .","Before 2002, 4 kinds of coronaviruses (CoVs, namely HCoV 229E, NL63, OC43, and HKU1) were known to infect humans, causing 10%-30% mild upper respiratory infection in adults, occasionally severe pneumonia in elders, infants, and immunodeficient persons. 1 Epidemiologic data indicated clear evidence of person-to-person transmission, and the transmission led to nosocomial infection. [5] [6] [7] The case number increased quickly in Wuhan and posed a large casualty. Up to February 24, 2020, a total of 46607 confirmed cases had been identified in Wuhan, with an estimated case fatality of 4.26% (1987 deaths). SARS-CoV-2 rapidly spread to other parts of Hubei province, other parts of China, and 29 countries, resulting in 17680 cases and 508 deaths (estimated fatality: 2.87%), 12975 cases and 100 deaths (0.77%), and 2105 cases and 24 deaths (1.14%), respectively (up to February 24, 2020). The transmissibility of SARS-CoV-2 is higher and the fatality is lower compared to SARS-CoV, although the two CoVs share the receptor-human angiotensin converting enzyme II (ACE2). [8] [9] [10] The etiological, epidemiological, and clinical characteristics of COVID-19 epidemic in Wuhan have been investigated since the disease outbreak. 3, [5] [6] [7] [10] [11] [12] [13] [14] The occurrences of COVID-19 cases outside Wuhan were reported. [15] [16] [17] [18] [19] The difference in the fatality rates . CC-BY-NC-ND 4.0 International license It is made available under a is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity."
Prediction of criticality in patients with severe Covid-19 infection using three clinical features: a machine learning-based prognostic model with clinical data in Wuhan,"We screened the electronic records of 2,799 patients admitted in Tongji Hospital from January 10th to February 18th, 2020. There were 375 discharged patients including 201 survivors. We built a prognostic prediction model based on XGBoost machine learning algorithm and then tested 29 patients (included 3 patients from other hospital) who were cleared after February 19th.","The outbreaks of COVID-19 epidemic has caused worldwide health concerns since December, 2019. It has been shown in literature [ patients is astonishingly 61.5%. However, it is arduous to identify these patients manually from the infectious crowds. Hence, it is becoming an urgent yet challenging mission to identify the critically ill cases form the infectious crowds using clinical data with the assistance of machine learning approaches. Such a developed prognostic model could offer early treatment to critical patients, thus potentially reducing mortality."
"Nelfinavir was predicted to be a potential inhibitor of 2019-nCov main protease by an integrative approach combining homology modelling, molecular docking and binding free energy calculation","2019-nCov has caused more than 80 deaths as of 27 January 2020 in China, and infection cases have been reported in more than 10 countries. However, there is no approved drug to treat the disease. 2019-nCov M pro is a potential drug target to combat the virus. We built homology models based on SARS M pro structures, and docked 1903 small molecule drugs to the models. Based on the docking score and the 3D similarity of the binding mode to the known M pro ligands, 4 drugs were selected for binding free energy calculations. Both MM/GBSA and SIE methods voted for nelfinavir, with the binding free energy of -24.69±0.52 kcal/mol and -9.42±0.04 kcal/mol, respectively. Therefore, we suggested that nelfinavir might be a potential inhibitor against 2019-nCov M pro .","In December 2019, cluster of patients with pneumonia were reported in Wuhan, Hubei Province, China. 1, 2 Shortly, a new coronavirus, temporally named 2019-nCov, was identified to be the cause of the disease, which is the seventh member of the family betacoronavirus. 1 More than 2,700 infection cases and 80 deaths were reported as of 27"
